sample_id,label,simple_prediction,full_prediction,outcome
m6_3_05,3,0,3,wrong_to_correct
m6_4_01,4,0,4,wrong_to_correct
m6_4_02,4,8,4,wrong_to_correct
m6_4_03,4,4,9,correct_to_wrong
m6_4_04,4,0,4,wrong_to_correct
m6_4_05,4,8,9,both_wrong
m6_5_01,5,8,5,wrong_to_correct
m6_5_02,5,8,5,wrong_to_correct
m6_5_03,5,8,5,wrong_to_correct
m6_5_04,5,8,5,wrong_to_correct
m6_5_05,5,8,5,wrong_to_correct
m6_6_01,6,8,6,wrong_to_correct
m6_6_02,6,8,6,wrong_to_correct
m6_6_03,6,0,6,wrong_to_correct
m6_6_04,6,8,6,wrong_to_correct
m6_6_05,6,4,6,wrong_to_correct
m6_7_01,7,8,7,wrong_to_correct
m6_7_02,7,8,7,wrong_to_correct
m6_7_03,7,8,7,wrong_to_correct
m6_7_04,7,8,7,wrong_to_correct
m6_7_05,7,0,7,wrong_to_correct
m6_8_01,8,0,8,wrong_to_correct
m6_8_02,8,0,8,wrong_to_correct
m6_8_03,8,8,8,both_correct
m6_8_04,8,0,8,wrong_to_correct
m6_8_05,8,0,8,wrong_to_correct
m6_9_01,9,8,9,wrong_to_correct
m6_9_02,9,0,9,wrong_to_correct
m6_9_03,9,0,9,wrong_to_correct
m6_9_04,9,8,9,wrong_to_correct
m6_9_05,9,8,9,wrong_to_correct
m8_0_01,0,0,0,both_correct
m8_1_01,1,4,1,wrong_to_correct
m8_2_01,2,4,2,wrong_to_correct
m8_3_01,3,8,3,wrong_to_correct
m8_4_01,4,4,4,both_correct
m8_5_01,5,8,5,wrong_to_correct
m8_6_01,6,8,6,wrong_to_correct
m8_7_01,7,8,7,wrong_to_correct
m8_8_01,8,8,8,both_correct
m8_9_01,9,8,9,wrong_to_correct
m8_0_02,0,0,0,both_correct
m8_0_03,0,8,0,wrong_to_correct
m8_0_04,0,0,0,both_correct
m8_0_05,0,0,0,both_correct
m8_1_02,1,4,1,wrong_to_correct
m8_1_03,1,8,1,wrong_to_correct
m8_1_04,1,4,7,both_wrong
m8_1_05,1,4,1,wrong_to_correct
m8_2_02,2,8,2,wrong_to_correct
m8_2_03,2,8,2,wrong_to_correct
m8_2_04,2,8,2,wrong_to_correct
m8_2_05,2,8,2,wrong_to_correct
m8_3_02,3,4,3,wrong_to_correct
m8_3_03,3,8,3,wrong_to_correct
m8_3_04,3,0,3,wrong_to_correct
m8_3_05,3,8,3,wrong_to_correct
m8_4_02,4,4,4,both_correct
m8_4_03,4,4,4,both_correct
m8_4_04,4,8,4,wrong_to_correct
m8_4_05,4,8,4,wrong_to_correct
m8_5_02,5,8,5,wrong_to_correct
m8_5_03,5,8,5,wrong_to_correct
m8_5_04,5,8,5,wrong_to_correct
m8_5_05,5,9,5,wrong_to_correct
m8_6_02,6,4,6,wrong_to_correct
m8_6_03,6,8,6,wrong_to_correct
m8_6_04,6,4,6,wrong_to_correct
m8_6_05,6,0,6,wrong_to_correct
m8_7_02,7,0,7,wrong_to_correct
m8_7_03,7,0,7,wrong_to_correct
m8_7_04,7,4,7,wrong_to_correct
m8_7_05,7,0,7,wrong_to_correct
m8_8_02,8,8,8,both_correct
m8_8_03,8,8,5,correct_to_wrong
m8_8_04,8,8,8,both_correct
m8_8_05,8,8,8,both_correct
m8_9_02,9,0,9,wrong_to_correct
m8_9_03,9,4,4,both_wrong
m8_9_04,9,0,9,wrong_to_correct
m8_9_05,9,0,9,wrong_to_correct
m5_0_01,0,0,0,both_correct
m5_0_02,0,0,0,both_correct
m5_0_03,0,0,0,both_correct
m5_0_04,0,0,0,both_correct
m5_1_01,1,0,1,wrong_to_correct
m5_1_02,1,0,1,wrong_to_correct
m5_1_03,1,0,1,wrong_to_correct
m5_1_04,1,0,1,wrong_to_correct
m5_2_01,2,8,2,wrong_to_correct
m5_2_02,2,8,2,wrong_to_correct
m5_2_03,2,0,2,wrong_to_correct
m5_2_04,2,8,2,wrong_to_correct
m5_3_01,3,0,3,wrong_to_correct
m5_3_02,3,0,3,wrong_to_correct
m5_3_03,3,8,3,wrong_to_correct
m5_3_04,3,8,3,wrong_to_correct
m5_4_01,4,0,4,wrong_to_correct
m5_4_02,4,0,4,wrong_to_correct
m5_4_03,4,8,4,wrong_to_correct
m5_4_04,4,0,4,wrong_to_correct
m5_5_01,5,4,5,wrong_to_correct
m5_5_02,5,8,5,wrong_to_correct
m5_5_03,5,8,5,wrong_to_correct
m5_5_04,5,8,5,wrong_to_correct
m5_6_01,6,8,6,wrong_to_correct
m5_6_02,6,8,6,wrong_to_correct
m5_6_03,6,0,6,wrong_to_correct
m5_6_04,6,8,6,wrong_to_correct
m5_7_01,7,0,3,both_wrong
m5_7_02,7,0,7,wrong_to_correct
m5_7_03,7,0,7,wrong_to_correct
m5_7_04,7,0,7,wrong_to_correct
m5_8_01,8,0,8,wrong_to_correct
m5_8_02,8,0,8,wrong_to_correct
m5_8_03,8,0,8,wrong_to_correct
m5_8_04,8,8,8,both_correct
m5_9_01,9,0,9,wrong_to_correct
m5_9_02,9,0,9,wrong_to_correct
m5_9_03,9,0,9,wrong_to_correct
m5_9_04,9,0,3,both_wrong
m4_0_01,0,8,0,wrong_to_correct
m4_0_02,0,0,0,both_correct
m4_0_03,0,0,0,both_correct
m4_0_04,0,8,0,wrong_to_correct
m4_0_05,0,8,0,wrong_to_correct
m4_1_01,1,0,4,both_wrong
m4_1_02,1,8,8,both_wrong
m4_1_03,1,4,8,both_wrong
m4_1_04,1,4,1,wrong_to_correct
m4_1_05,1,4,1,wrong_to_correct
m4_2_01,2,4,8,both_wrong
m4_2_02,2,4,2,wrong_to_correct
m4_2_03,2,4,2,wrong_to_correct
m4_2_04,2,4,8,both_wrong
m4_2_05,2,8,2,wrong_to_correct
m4_3_01,3,0,1,both_wrong
m4_3_02,3,8,3,wrong_to_correct
m4_3_03,3,8,3,wrong_to_correct
m4_3_04,3,8,3,wrong_to_correct
m4_3_05,3,8,3,wrong_to_correct
m4_4_01,4,8,1,both_wrong
m4_4_02,4,8,8,both_wrong
m4_4_03,4,8,8,both_wrong
m4_4_04,4,0,4,wrong_to_correct
m4_4_05,4,8,4,wrong_to_correct
m4_5_01,5,8,2,both_wrong
m4_5_02,5,8,5,wrong_to_correct
m4_5_03,5,8,5,wrong_to_correct
m4_5_04,5,8,5,wrong_to_correct
m4_5_05,5,8,5,wrong_to_correct
m4_6_01,6,8,5,both_wrong
m4_6_02,6,8,6,wrong_to_correct
m4_6_03,6,8,5,both_wrong
m4_6_04,6,8,8,both_wrong
m4_6_05,6,0,6,wrong_to_correct
m4_7_01,7,4,7,wrong_to_correct
m4_7_02,7,0,3,both_wrong
m4_7_03,7,4,8,both_wrong
m4_7_04,7,8,3,both_wrong
m4_7_05,7,0,3,both_wrong
m4_8_01,8,4,8,wrong_to_correct
m4_8_02,8,8,3,correct_to_wrong
m4_8_03,8,8,8,both_correct
m4_8_04,8,8,8,both_correct
m4_8_05,8,8,8,both_correct
m4_9_01,9,0,3,both_wrong
m4_9_02,9,8,3,both_wrong
m4_9_03,9,8,3,both_wrong
m4_9_04,9,8,9,wrong_to_correct
m4_9_05,9,8,9,wrong_to_correct
m3_0_01,0,4,2,both_wrong
m3_0_02,0,8,0,wrong_to_correct
m3_0_03,0,8,2,both_wrong
m3_0_04,0,0,0,both_correct
m3_0_05,0,8,2,both_wrong
m3_1_01,1,0,1,wrong_to_correct
m3_1_02,1,4,1,wrong_to_correct
m3_1_03,1,4,1,wrong_to_correct
m3_1_04,1,4,1,wrong_to_correct
m3_1_05,1,4,8,both_wrong
m3_2_01,2,4,2,wrong_to_correct
m3_2_02,2,4,2,wrong_to_correct
m3_2_03,2,8,3,both_wrong
m3_2_04,2,8,2,wrong_to_correct
m3_2_05,2,8,2,wrong_to_correct
m3_3_01,3,8,3,wrong_to_correct
m3_3_02,3,8,3,wrong_to_correct
m3_3_03,3,8,3,wrong_to_correct
m3_3_04,3,8,3,wrong_to_correct
m3_3_05,3,8,3,wrong_to_correct
m3_4_01,4,8,4,wrong_to_correct
m3_4_02,4,8,4,wrong_to_correct
m3_4_03,4,0,4,wrong_to_correct
m3_4_04,4,8,5,both_wrong
m3_4_05,4,4,8,correct_to_wrong
m3_5_01,5,8,5,wrong_to_correct
m3_5_02,5,8,5,wrong_to_correct
m3_5_03,5,4,5,wrong_to_correct
m3_5_04,5,8,5,wrong_to_correct
m3_5_05,5,8,5,wrong_to_correct
m3_6_01,6,8,6,wrong_to_correct
m3_6_02,6,4,5,both_wrong
m3_6_03,6,8,5,both_wrong
m3_6_04,6,8,5,both_wrong
m3_6_05,6,8,5,both_wrong
m3_7_01,7,8,3,both_wrong
m3_7_02,7,8,3,both_wrong
m3_7_03,7,8,2,both_wrong
m3_7_04,7,8,3,both_wrong
m3_7_05,7,8,3,both_wrong
m3_8_01,8,8,5,correct_to_wrong
m3_8_02,8,8,8,both_correct
m3_8_03,8,8,3,correct_to_wrong
m3_8_04,8,8,8,both_correct
m3_8_05,8,8,3,correct_to_wrong
m3_9_01,9,8,3,both_wrong
m3_9_02,9,0,9,wrong_to_correct
m3_9_03,9,8,3,both_wrong
m3_9_04,9,8,9,wrong_to_correct
m3_9_05,9,8,3,both_wrong
m7_0_01,0,4,8,both_wrong
m7_0_02,0,4,8,both_wrong
m7_0_03,0,4,0,wrong_to_correct
m7_0_04,0,4,2,both_wrong
m7_0_05,0,4,8,both_wrong
m7_1_01,1,4,4,both_wrong
m7_1_02,1,4,8,both_wrong
m7_1_03,1,4,1,wrong_to_correct
m7_1_04,1,4,1,wrong_to_correct
m7_1_05,1,4,9,both_wrong
m7_2_01,2,4,2,wrong_to_correct
m7_2_02,2,4,3,both_wrong
m7_2_03,2,4,2,wrong_to_correct
m7_2_04,2,4,2,wrong_to_correct
m7_2_05,2,4,2,wrong_to_correct
m7_3_01,3,8,3,wrong_to_correct
m7_3_02,3,4,3,wrong_to_correct
m7_3_03,3,8,3,wrong_to_correct
m7_3_04,3,4,3,wrong_to_correct
m7_3_05,3,4,3,wrong_to_correct
m7_4_01,4,4,8,correct_to_wrong
m7_4_02,4,4,6,correct_to_wrong
m7_4_03,4,4,2,correct_to_wrong
m7_4_04,4,4,6,correct_to_wrong
m7_4_05,4,4,6,correct_to_wrong
m7_5_01,5,8,3,both_wrong
m7_5_02,5,0,5,wrong_to_correct
m7_5_03,5,4,5,wrong_to_correct
m7_5_04,5,4,5,wrong_to_correct
m7_5_05,5,4,5,wrong_to_correct
m7_6_01,6,4,8,both_wrong
m7_6_02,6,4,5,both_wrong
m7_6_03,6,4,5,both_wrong
m7_6_04,6,4,8,both_wrong
m7_6_05,6,4,6,wrong_to_correct
m7_7_01,7,4,7,wrong_to_correct
m7_7_02,7,0,7,wrong_to_correct
m7_7_03,7,0,7,wrong_to_correct
m7_7_04,7,4,3,both_wrong
m7_7_05,7,4,3,both_wrong
m7_8_01,8,4,8,wrong_to_correct
m7_8_02,8,4,8,wrong_to_correct
m7_8_03,8,0,3,both_wrong
m7_8_04,8,0,8,wrong_to_correct
m7_8_05,8,0,8,wrong_to_correct
m7_9_01,9,4,5,both_wrong
m7_9_02,9,4,8,both_wrong
m7_9_03,9,4,3,both_wrong
m7_9_04,9,4,8,both_wrong
m7_9_05,9,4,9,wrong_to_correct
